projectID,key,creationDate,resolutionDate,updateDate,dueDate,resolution,type,priority,fixVersions,versions,timeSpent,aggregatedTimeSpent,timeEstimate,timeOriginalEstimate,aggregateTimeEstimate,progressPercent,componentName,componentDescription,description,summary,watchCount,votes,labels,creatorName,creatorActive,assignee,reporter
commons-exec,EXEC-107,2018-07-04T12:09:47.000+0000,,2018-07-04T12:09:47.000+0000,,,New Feature,Major,,['1.3'],,,,,,,,,"Hi,

I would like to start an independent process (either another Java VM or something else) using Commons Exec.

This means that the child process is not terminated when the invoking Java process ends.

Currently Commons Exec does not support this.

I do not need to handle output, it can just be sent to a file.

Currently I invoke a script file containing ""nohup ... > ... 2>&1 &"" on Linux, and cmd.exe with a batch file on Windows. However, the latter method does not always seem to work.

I would love Commons Exec to allow starting independent processes without any further effort on the caller's part.

Many greetings,
Stefan Reich / BotCompany.de",Start independent process,1,,,stefanreich,True,,stefanreich
commons-exec,EXEC-88,2014-09-21T20:16:01.000+0000,,2014-09-21T20:16:01.000+0000,,,New Feature,Major,,,,,,,,,,,"Hello Commons Exec-ians,

see https://github.com/vorburger/MariaDB4j/blob/10747327a1822a719ff35aaba6b4a4a42103424c/src/main/java/ch/vorburger/exec/ManagedProcess.java

would my ManagedProcess helper (and a few related util classes from ch.vorburger.exec), which extends commons-exec with a higher-level abstraction over your  for controlling async ""daemon tools"" be of possibly interest as a contribution to commons-exec?

I wrote it for and am using it in MariaDB4j https://github.com/vorburger/MariaDB4j.","ManagedProcess, higher-level abstraction for controlling async ""daemon tools"" (contribution from MariaDB4j)",1,,,vorburger,True,,vorburger
commons-exec,EXEC-84,2014-02-21T09:38:39.000+0000,2014-02-21T16:31:46.000+0000,2014-02-22T21:58:34.000+0000,,Implemented,New Feature,Major,['1.2'],,,,,,,,,,"In my java application i have to execute various CommandLine applications. Now i want to send these applications as Actors to a remote machine. The most natural would be to have the CommandLine object of apache exec in the Actor message. However, the CommandLine does not implement the Serializable interface. Is there any problem tagging the CommandLine object as Serializable?",CommandLine implementing Serializeable,2,,,richtesn,True,,richtesn
commons-exec,EXEC-70,2012-11-04T05:01:39.000+0000,,2014-01-10T10:39:50.000+0000,,,New Feature,Minor,,,,,,,,,,,"Direct calls to Thread constructors are usually a bad idea. It's better to allow callers to configure a ThreadFactory, and to invoke that to create them for us. This would allow callers to adjust thread priorities, names, daemon/user thread levels, thread groups and UncaughtExceptionHandlers.",Delegate thread creation to java.util.concurrent.ThreadFactory,3,,,richarda,True,,richarda
accumulo,ACCUMULO-4852,2018-07-29T18:46:54.000+0000,2018-09-13T02:37:12.000+0000,2018-09-13T02:37:12.000+0000,,Won't Fix,New Feature,Major,,"['1.9.0', '2.0.0']",,,3600,3600,3600,,"['build', 'maven-plugin']","['tarball, packaging, and the Maven build', 'accumulo-maven-plugin issues']","OWASP DC makes an outbound REST call to MITRE Common Vulnerabilities & Exposures (CVE) to perform a lookup for each dependant .jar to list any/all known vulnerabilities for each jar.  This step is needed because a manual MITRE CVE lookup/check on the main component does not include checking for vulnerabilities in dependant libraries.

OWASP Dependency check : https://www.owasp.org/index.php/OWASP_Dependency_Check has plug-ins for most Java build/make types (ant, maven, ivy, gradle).  

Also, please add the appropriate command to the nightly build to generate a report of all known vulnerabilities in any/all third party libraries/dependencies that get pulled in. example : mvn -Powasp -Dtest=false -DfailIfNoTests=false clean aggregate

Generating this report nightly/weekly will help inform the project's development team if any dependant libraries have a reported known vulneraility.  Project teams that keep up with removing vulnerabilities on a weekly basis will help protect businesses that rely on these open source componets.",Please add OWASP Dependency Check to the build (pom.xml),2,,"['build', 'easyfix', 'security']",ABakerIII,True,ctubbsii,ABakerIII
accumulo,ACCUMULO-4826,2018-02-23T20:55:38.000+0000,2018-02-26T03:45:49.000+0000,2019-04-23T16:12:59.000+0000,,Fixed,New Feature,Major,['1.9.0'],,21000,21000,,,,100,,,,Support Hadoop 3,4,1,['pull-request-available'],elserj,True,elserj,elserj
accumulo,ACCUMULO-4808,2018-02-09T18:11:39.000+0000,2018-07-30T14:33:03.000+0000,2019-04-23T16:09:16.000+0000,,Duplicate,New Feature,Major,,,,,,,,,"['master', 'tserver']","['master', 'tablet server']","Add capability to add table splits at table creation. Recent changes now allow iterator and locality groups to be created at table creation. Do the same with splits. Comment below from [ACCUMULO-4806|https://issues.apache.org/jira/browse/ACCUMULO-4806] explains the motivation for the request:

{quote}[~etcoleman] added a comment - 2 hours ago
It would go al long way if the splits could be added at table creation or when table is offline.  When the other API changes were made by Mark, I wondered if this task could also could be done at that time - but I believe that it was more complicated.

The delay is that when a table is created and then the splits added and then taken offline there is a period proportional to the number of splits as they are off-loaded from the tserver where they originally got assigned.  (The re-online with splits distributed across the cluster is quite fast)

If the splits could be added at table creation, or while the table is offline so that the delay for shedding the tablets could be avoided, then the need to perform the actual import offline would not be as necessary.

 
{quote}
 ",Add splits to table at table creation.,4,,,jmark99,True,jmark99,jmark99
accumulo,ACCUMULO-4733,2017-10-31T18:00:31.000+0000,2018-10-09T16:15:19.000+0000,2018-10-09T16:15:19.000+0000,,Fixed,New Feature,Minor,['2.0.0'],,4200,4200,,,,100,,,Adding the ability to configure which Java security provider to use for crypto.,Implement configurable security provider for crypto,2,1,"['pull-request-available', 'release-notes']",PircDef,True,PircDef,PircDef
accumulo,ACCUMULO-4729,2017-10-24T07:59:29.000+0000,,2017-11-01T16:58:00.000+0000,,,New Feature,Minor,,['1.8.1'],,,,,,,['mini'],['the mini cluster'],"As developer I would like to have something like MiniAccumuloCluster.getInstance() 
That I can share with multiple tests",MiniAccumuloCluster should have a Singleton,3,,,jomach,True,,jomach
accumulo,ACCUMULO-4706,2017-09-13T20:26:08.000+0000,2017-12-12T19:36:43.000+0000,2017-12-12T19:36:43.000+0000,,Fixed,New Feature,Major,,['2.0.0'],12600,12600,,,,100,"['scripts', 'start']","['scripts for managing services, etc.', 'classloader code and startup scripts']","While there are some [Accumulo images|https://hub.docker.com/search/?isAutomated=0&isOfficial=0&page=1&pullCount=0&q=accumulo&starCount=0] on DockerHub, it looks the majority of the them are designed to run a single-node Accumulo instance in a Docker container for development and testing.

It would be great if Accumulo had an official image for running Accumulo processes in containers on a production cluster.  The image could be be published as an official image 'apache/accumulo' to DockerHub.  

In order to make this possible, I think work needs to be done to allow configuration to be passed to the Accumulo process in the docker container without using configuration files (as passing files to a running container is hard in Docker).  One way to do this is to add an option called {{--upload-accumulo-site}} to 'accumulo init' command which is called outside of Docker by the user.  This would set properties in accumulo-site.xml as system properties in Zookeeper during Accumulo initialization.  Accumulo processes in Docker containers could be started with minimal configuration by updating 'accumulo <service>' commands to have a {{-o key=value}} option to override configuration.  These changes to Accumulo would enable the following commands to start an Accumulo cluster in Docker:

{noformat}
accumulo init --upload-accumulo-site
docker pull apache/accumulo
docker run apache/accumulo master -o instance.zookeeper.host=zkhost:2181
docker run apache/accumulo tserver -o instance.zookeeper.host=zkhost:2181
docker run apache/accumulo monitor -o instance.zookeeper.host=zkhost:2181
docker run apache/accumulo tracer -o instance.zookeeper.host=zkhost:2181
{noformat}",Create official Accumulo Docker image,4,,['pull-request-available'],mikewalch,True,mikewalch,mikewalch
