key,sentence_id,smell_id,index_start,index_end,language_construct,smell_title,smell_text
EXEC-107,1,res_1,51,57,Ambiguous Adverb or Adjective,Optional,either
EXEC-107,1,res_9,5,6,Vague Pronoun,Pronoun,I
EXEC-107,1,res_9,77,86,Vague Pronoun,Pronoun,something
EXEC-107,1,res_8,87,91,Subjective Language,Too Broad,else
EXEC-107,1,res_8,7,12,Subjective Language,Weak,would
EXEC-107,1,res_6,93,111,Nominalization,Ambiguous Nominalization,using Commons Exec
EXEC-107,2,res_5,37,40,Negative Statement,Negative,not
EXEC-107,2,res_9,11,15,Vague Pronoun,Pronoun,that
EXEC-107,2,res_9,0,4,Vague Pronoun,Pronoun,This
EXEC-107,2,res_8.1,34,51,Subjective Language,Passive Voice Ambiguity,is not terminated
EXEC-107,2,res_6,61,69,Nominalization,Ambiguous Nominalization,invoking
EXEC-107,3,res_5,28,31,Negative Statement,Negative,not
EXEC-107,3,res_9,40,44,Vague Pronoun,Pronoun,this
EXEC-107,4,res_5,5,8,Negative Statement,Negative,not
EXEC-107,4,res_9,32,34,Vague Pronoun,Pronoun,it
EXEC-107,4,res_9,0,1,Vague Pronoun,Pronoun,I
EXEC-107,4,res_8,35,38,Subjective Language,Weak,can
EXEC-107,4,res_8.1,44,51,Subjective Language,Passive Voice Ambiguity,be sent
EXEC-107,5,res_9,10,11,Vague Pronoun,Pronoun,I
EXEC-107,6,res_5,32,35,Negative Statement,Negative,not
EXEC-107,7,res_8,74,77,Subjective Language,Dangerous Plural,any
EXEC-107,7,res_9,0,1,Vague Pronoun,Pronoun,I
EXEC-107,7,res_8,2,7,Subjective Language,Weak,would
EXEC-107,7,res_6,35,65,Nominalization,Ambiguous Nominalization,starting independent processes
EXEC-107,8,res_8,0,4,Subjective Language,Dangerous Plural,Many
EXEC-107,8,res_3,16,44,Compound Noun,Ambiguous Compound Nouns,Stefan Reich BotCompany.de
EXEC-88,1,res_8,206,209,Subjective Language,Dangerous Plural,few
EXEC-88,1,res_1,369,377,Ambiguous Adverb or Adjective,Optional,possibly
EXEC-88,1,res_9,174,176,Vague Pronoun,Pronoun,my
EXEC-88,1,res_9,256,261,Vague Pronoun,Pronoun,which
EXEC-88,1,res_9,320,324,Vague Pronoun,Pronoun,your
EXEC-88,1,res_8,168,173,Subjective Language,Weak,would
EXEC-88,1,res_8,48,49,Subjective Language,Vague,/
EXEC-88,1,res_8,58,59,Subjective Language,Vague,/
EXEC-88,1,res_8,68,69,Subjective Language,Vague,/
EXEC-88,1,res_8,73,74,Subjective Language,Vague,/
EXEC-88,1,res_8,114,115,Subjective Language,Vague,/
EXEC-88,1,res_8,118,119,Subjective Language,Vague,/
EXEC-88,1,res_8,123,124,Subjective Language,Vague,/
EXEC-88,1,res_8,128,129,Subjective Language,Vague,/
EXEC-88,1,res_8,131,132,Subjective Language,Vague,/
EXEC-88,1,res_8,141,142,Subjective Language,Vague,/
EXEC-88,1,res_8,146,147,Subjective Language,Vague,/
EXEC-88,1,res_2,292,297,Comparatives and Superlatives,Comparative Adjective,higher
EXEC-88,1,res_6,330,347,Nominalization,Ambiguous Nominalization,controlling async
EXEC-88,1,res_6,390,420,Nominalization,Ambiguous Nominalization,a contribution to commons - exec
EXEC-88,2,res_9,8,10,Vague Pronoun,Pronoun,it
EXEC-88,2,res_9,28,30,Vague Pronoun,Pronoun,it
EXEC-88,2,res_9,0,1,Vague Pronoun,Pronoun,I
EXEC-88,2,res_8,62,63,Subjective Language,Vague,/
EXEC-88,2,res_8,72,73,Subjective Language,Vague,/
EXEC-88,3,res_2,16,22,Comparatives and Superlatives,Comparative Adjective,higher
EXEC-88,3,res_3,0,40,Compound Noun,Ambiguous Compound Nouns,ManagedProcess level abstraction
EXEC-88,3,res_6,45,62,Nominalization,Ambiguous Nominalization,controlling async
EXEC-88,3,res_6,79,106,Nominalization,Ambiguous Nominalization,contribution from MariaDB4j
EXEC-84,1,res_9,23,24,Vague Pronoun,Pronoun,i
EXEC-84,1,res_9,3,5,Vague Pronoun,Pronoun,my
EXEC-84,1,res_8,41,48,Subjective Language,Vague,various
EXEC-84,1,res_6,41,73,Nominalization,Ambiguous Nominalization,various CommandLine applications
EXEC-84,2,res_9,4,5,Vague Pronoun,Pronoun,i
EXEC-84,2,res_9,19,24,Vague Pronoun,Pronoun,these
EXEC-84,2,res_6,19,37,Nominalization,Ambiguous Nominalization,these applications
EXEC-84,3,res_9,4,8,Vague Pronoun,Pronoun,most
EXEC-84,3,res_8,17,22,Subjective Language,Weak,would
EXEC-84,3,res_2,4,8,Comparatives and Superlatives,Superlative Adverb,most
EXEC-84,4,res_5,30,33,Negative Statement,Negative,not
EXEC-84,5,res_8,9,12,Subjective Language,Dangerous Plural,any
EXEC-84,5,res_8,3,8,Subjective Language,Vague,there
EXEC-70,1,res_1,40,47,Ambiguous Adverb or Adjective,Speculation,usually
EXEC-70,1,res_8,50,53,Subjective Language,Vague,bad
EXEC-70,2,res_9,0,2,Vague Pronoun,Pronoun,It
EXEC-70,2,res_9,73,77,Vague Pronoun,Pronoun,that
EXEC-70,2,res_9,88,92,Vague Pronoun,Pronoun,them
EXEC-70,2,res_9,97,99,Vague Pronoun,Pronoun,us
EXEC-70,2,res_2,5,11,Comparatives and Superlatives,Comparative Adjective,better
EXEC-70,3,res_9,0,4,Vague Pronoun,Pronoun,This
