key,sres_1,sres_2,sres_3,sres_4,sres_5,sres_6,sres_7,sres_8,sres_9,sum
EXEC-107,0,0,0,0,0,0,0,0,0,0
EXEC-88,0,1,1,0,0,2,0,0,0,4
EXEC-84,0,0,0,0,0,0,0,0,0,0
EXEC-70,0,0,1,0,0,1,0,0,0,2
ACCUMULO-4852,0,0,1,0,0,0,0,0,0,1
ACCUMULO-4826,0,0,0,0,0,0,0,0,0,0
ACCUMULO-4808,0,0,0,0,0,1,0,1,0,2
ACCUMULO-4733,0,0,0,0,0,0,0,0,0,0
ACCUMULO-4729,0,0,0,0,0,0,0,2,0,2
ACCUMULO-4706,0,0,1,0,0,0,0,0,0,1
ACCUMULO-4655,0,0,0,0,0,0,1,3,0,4
ACCUMULO-4654,0,0,0,0,0,2,1,2,1,5
ACCUMULO-4628,0,0,0,0,0,0,0,0,0,0
ACCUMULO-4595,0,0,0,0,0,1,0,1,0,2
ACCUMULO-4544,0,0,0,0,0,0,0,0,0,0
ACCUMULO-4500,0,0,0,0,0,0,0,0,0,0
ACCUMULO-4493,0,0,0,0,0,0,0,2,0,2
ACCUMULO-4492,0,0,0,0,0,3,0,0,0,3
ACCUMULO-4487,0,0,1,0,0,0,0,1,0,2
ACCUMULO-4307,0,0,1,0,0,1,0,0,0,2
ACCUMULO-4061,0,0,0,0,0,1,0,0,0,1
ACCUMULO-3982,1,0,1,0,0,1,0,0,0,3
ACCUMULO-3970,0,0,0,0,0,1,0,1,0,2
ACCUMULO-3795,1,0,0,0,0,0,0,1,0,2
ACCUMULO-3733,0,0,0,0,0,0,0,0,1,0
ACCUMULO-3700,0,0,1,0,0,0,0,0,0,1
ACCUMULO-3678,0,0,1,0,0,1,0,0,0,2
ACCUMULO-3677,0,0,0,0,0,1,0,1,0,2
ACCUMULO-3676,0,0,0,0,0,0,0,0,0,0
ACCUMULO-3675,0,0,1,0,0,0,0,1,0,2
ACCUMULO-3674,0,0,1,0,0,1,0,0,0,2
ACCUMULO-3671,0,0,0,0,0,0,0,0,0,0
ACCUMULO-3648,0,0,1,0,0,0,0,0,0,1
ACCUMULO-3477,0,0,0,0,0,0,0,0,0,0
ACCUMULO-3369,0,0,1,0,0,0,0,0,0,1
ACCUMULO-3206,0,0,1,1,0,0,0,0,0,2
ACCUMULO-3196,0,0,0,1,0,0,0,0,0,1
ACCUMULO-3091,0,0,0,0,0,0,0,0,0,0
ACCUMULO-3083,0,0,0,0,0,1,0,1,0,2
ACCUMULO-2998,0,0,0,0,0,1,0,0,0,1
ACCUMULO-2883,0,0,0,0,0,0,0,1,1,1
ACCUMULO-2873,0,0,1,0,0,0,0,0,1,1
ACCUMULO-2841,0,0,1,1,0,0,0,1,0,3
ACCUMULO-2739,0,0,0,0,0,0,0,0,0,0
ACCUMULO-2589,0,0,0,0,0,0,0,0,0,0
ACCUMULO-2580,0,0,1,0,0,1,0,0,0,2
ACCUMULO-2553,0,0,0,0,0,0,0,2,0,2
ACCUMULO-2518,0,0,1,0,0,0,0,0,0,1
ACCUMULO-2439,0,0,0,0,1,0,0,0,0,1
ACCUMULO-2413,0,0,0,0,0,0,0,2,0,2
ACCUMULO-2375,0,0,0,0,0,0,0,1,0,1
ACCUMULO-2365,0,0,0,0,0,0,0,0,0,0
ACCUMULO-2362,0,0,0,0,0,1,0,0,0,1
ACCUMULO-2338,0,0,0,0,0,0,0,0,0,0
ACCUMULO-2214,0,0,0,0,0,0,0,0,0,0
ACCUMULO-2180,0,0,0,0,0,0,0,0,0,0
ACCUMULO-2159,0,0,0,0,0,0,0,3,0,3
ACCUMULO-2158,0,0,0,0,0,0,0,0,0,0
ACCUMULO-2157,0,0,0,0,0,1,0,0,0,1
ACCUMULO-1957,0,0,0,0,0,0,0,1,0,1
ACCUMULO-1817,0,0,0,0,0,0,0,0,0,0
ACCUMULO-1802,0,0,0,0,0,2,0,0,0,2
ACCUMULO-1753,0,0,0,0,0,1,0,0,0,1
ACCUMULO-1680,0,0,0,0,0,0,0,0,0,0
ACCUMULO-1639,0,1,2,0,0,0,0,1,3,4
ACCUMULO-1496,0,0,0,0,0,0,0,0,1,0
ACCUMULO-1495,0,0,0,0,0,1,1,1,0,3
ACCUMULO-1488,0,0,1,0,0,1,0,0,0,2
ACCUMULO-1427,0,0,0,0,0,0,0,0,0,0
ACCUMULO-1419,0,0,0,0,0,0,0,1,0,1
ACCUMULO-1399,0,0,0,0,0,0,0,0,0,0
ACCUMULO-1398,0,0,0,0,0,1,0,0,0,1
